Country name,Regional indicator,Region,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,Western Europe,Europe,7842,0.032,7904,7780,10775,0.954,72000,0.949,-0.098,0.186,2430,1446,1106,0.741,0.691,0.124,0.481,3253
Denmark,Western Europe,Europe,7620,0.035,7687,7552,10933,0.954,72700,0.946,0.030,0.179,2430,1502,1108,0.763,0.686,0.208,0.485,2868
Switzerland,Western Europe,Europe,7571,0.036,7643,7500,11117,0.942,74400,0.919,0.025,0.292,2430,1566,1079,0.816,0.653,0.204,0.413,2839
Iceland,Western Europe,Europe,7554,0.059,7670,7438,10878,0.983,73000,0.955,0.160,0.673,2430,1482,1172,0.772,0.698,0.293,0.170,2967
Netherlands,Western Europe,Europe,7464,0.027,7518,7410,10932,0.942,72400,0.913,0.175,0.338,2430,1501,1079,0.753,0.647,0.302,0.384,2798
Norway,Western Europe,Europe,7392,0.035,7462,7323,11053,0.954,73300,0.960,0.093,0.270,2430,1543,1108,0.782,0.703,0.249,0.427,2580
Sweden,Western Europe,Europe,7363,0.036,7433,7293,10867,0.934,72700,0.945,0.086,0.237,2430,1478,1062,0.763,0.685,0.244,0.448,2683
Luxembourg,Western Europe,Europe,7324,0.037,7396,7252,11647,0.908,72600,0.907,-0.034,0.386,2430,1751,1003,0.760,0.639,0.166,0.353,2653
New Zealand,North America and ANZ,Oceania,7277,0.040,7355,7198,10643,0.948,73400,0.929,0.134,0.242,2430,1400,1094,0.785,0.665,0.276,0.445,2612
Austria,Western Europe,Europe,7268,0.036,7337,7198,10906,0.934,73300,0.908,0.042,0.481,2430,1492,1062,0.782,0.640,0.215,0.292,2784
Australia,North America and ANZ,Oceania,7183,0.041,7265,7102,10796,0.940,73900,0.914,0.159,0.442,2430,1453,1076,0.801,0.647,0.291,0.317,2598
Israel,Middle East and North Africa,Asia,7157,0.034,7224,7090,10575,0.939,73503,0.800,0.031,0.753,2430,1376,1074,0.788,0.509,0.208,0.119,3083
Germany,Western Europe,Europe,7155,0.040,7232,7077,10873,0.903,72500,0.875,0.011,0.460,2430,1480,0.993,0.757,0.600,0.195,0.306,2824
